"referencia","descr_produto","QTD Vendida","tipo_evento","essential_Y_N","tipo_colecao"
S5866D003,RASTEIRA ENFEITE BRANCO,83,VERÃO 2026,Não,V26
S5864S170,SANDÁLIA MACRAMÊ MARROM,82,VERÃO 2026,Não,V26
S58655006,SANDÁLIA TIRAS FESTA PRATA,81,VERÃO 2026,Não,V26
S5865B009,SANDÁLIA TIRAS CAFE,81,VERÃO 2026,Não,V26
T586A4045,TAMANCO LAÇO VERDE,81,VERÃO 2026,Não,V26
S58642881,SANDÁLIA TACHAS OFF WHITE,80,VERÃO 2026,Não,V26
S58645012,SCARPIN TRAMADO NÓ CARAMELO,80,VERÃO 2026,Não,V26
T5867N055,SAPATILHA BONECA FLORES PALHA,80,VERÃO 2026,Não,V26
S5863Y724,PAPETE MEIA ESFERAS DOURADO,77,VERÃO 2026,Não,V26
T5869A881,TÊNIS TRAMA OFF WHITE,77,VERÃO 2026,Não,V26
S58675045,RASTEIRA ENFEITE VERDE,76,VERÃO 2026,Não,V26
S584D2170,SANDÁLIA AMARRAÇÃO MARROM,76,VERÃO 2026,Não,V26
S5869K881,PAPETE STRASS OFF WHITE,76,VERÃO 2026,Não,V26
S585QZ050,TAMANCO BICO FOLHA BRONZE,75,VERÃO 2026,Não,V26
C58671002,MOCASSIM LASER MEDALHA PRETO,75,VERÃO 2026,Não,V26
S5866C881,RASTEIRA TRANÇAS OFF WHITE,74,VERÃO 2026,Não,V26
S58673881,TAMANCO MACRAMÊ OFF WHITE,74,VERÃO 2026,Não,V26
C58671724,MOCASSIM LASER MEDALHA DOURADO,73,VERÃO 2026,Não,V26
S5863Y170,PAPETE MEIA ESFERAS MARROM,73,VERÃO 2026,Não,V26
S5867M022,TÊNIS TELA ROSA,73,VERÃO 2026,Não,V26
S5863K881,RASTEIRA RECORTES E ENFEITES OFF WHITE,73,VERÃO 2026,Não,V26
C58670724,MOCASSIM BRIDÃO DOURADO,73,VERÃO 2026,Não,V26
S5869C170,PAPETE TIRAS TACHAS MARROM,73,VERÃO 2026,Não,V26
S5866J724,SACRPIN SLINGBACK DOURADO,72,VERÃO 2026,Não,V26
S58692881,TAMANCO TRAMA OFF WHITE,72,VERÃO 2026,Não,V26
S5863R881,SCARPIN RECORTES OFF WHITE,71,VERÃO 2026,Não,V26
S5864R881,RASTEIRA MACRAMÊ OFF WHITE,70,VERÃO 2026,Não,V26
S5860F012,MOCASSIM LAÇO ENFEITE CARAMELO,70,VERÃO 2026,Não,V26
S5863O002,PAPETE COMFORT FIVELA PRETO,69,VERÃO 2026,Não,V26
S58693881,SANDÁLIA MEIA PATA OFF WHITE,69,VERÃO 2026,Não,V26
S58562010,SCARPIN SALTO ALTO FINO BEGE,69,VERÃO 2026,Não,V26
C58671881,MOCASSIM LASER MEDALHA OFF WHITE,69,VERÃO 2026,Não,V26
S5869L616,SANDÁLIA STRASS NUDE,68,VERÃO 2026,Não,V26
S5866Z012,RASTEIRA RÁFIA CARAMELO,67,VERÃO 2026,Não,V26
S5868D015,SCARPIN SLINGBACK FIVELA VERMELHO,67,VERÃO 2026,Não,V26
S5863R002,SCARPIN RECORTES PRETO,67,VERÃO 2026,Não,V26
S5866J009,SCARPIN SLINGBACK CAFE,67,VERÃO 2026,Não,V26
S5866O881,TAMANCO FLOR OFF WHITE,67,VERÃO 2026,Não,V26
S5866N724,SANDÁLIA TRANÇA DOURADO,66,VERÃO 2026,Não,V26
C58672881,TÊNIS LASER OFF WHITE,66,VERÃO 2026,Não,V26
S5866B881,RASTEIRA ENFEITE OFF WHITE,66,VERÃO 2026,Não,V26
S58692012,TAMANCO TRAMA CARAMELO,66,VERÃO 2026,Não,V26
S5868W881,RASTEIRA ESFERA OFF WHITE,65,VERÃO 2026,Não,V26
S5864Y010,TAMANCO BRILHO NÓ BEGE,65,VERÃO 2026,Não,V26
S5866V010,RASTEIRA TIRA TRAMADA BEGE,65,VERÃO 2026,Não,V26
S58696012,ANABELA TIRAS CARAMELO,65,VERÃO 2026,Não,V26
S5866R881,RASTEIRA CRAVOS OFF WHITE,65,VERÃO 2026,Não,V26
S5866W881,RASTEIRA NÓ PASSADOR OFF WHITE,65,VERÃO 2026,Não,V26
S5865F005,SANDÁLIA TACHAS AZUL,65,VERÃO 2026,Não,V26
S5866P881,ANABELA ARGOLA OFF WHITE,64,VERÃO 2026,Não,V26
S5868E881,SCARPIN LAÇO OFF WHITE,64,VERÃO 2026,Não,V26
S5868H010,SAPATILHA FIVELA E TACHAS BEGE,63,VERÃO 2026,Não,V26
S5865C881,RASTEIRA TEXTURA ENFEITE OVAL OFF WHITE,62,VERÃO 2026,Não,V26
S5868L616,SAPATILHA LAÇO E TACHAS NUDE,62,VERÃO 2026,Não,V26
S5864H012,TAMANCO PLATAFORMA RECORTES CARAMELO,62,VERÃO 2026,Não,V26
S586AC005,ANABELA TRAMA FIVELA AZUL,61,VERÃO 2026,Não,V26
S5866H881,RASTEIRA ENFEITE OFF WHITE,61,VERÃO 2026,Não,V26
S5863Q012,TAMANCO RECORTES CARAMELO,60,VERÃO 2026,Não,V26
S58658045,RASTEIRA FLOR VERDE,59,VERÃO 2026,Não,V26
S5855K006,SAPATILHA BONECA TACHAS PRATA,58,VERÃO 2026,Não,V26
S58651009,MEIA PATA TACHAS CAFE,58,VERÃO 2026,Não,V26
S58682039,PAPETE FIVELA BORDO,58,VERÃO 2026,Não,V26
S5868K015,SCARPIN SLINGBACK VERMELHO,58,VERÃO 2026,Não,V26
S58682881,PAPETE FIVELA OFF WHITE,57,VERÃO 2026,Não,V26
S5866E005,RASTEIRA LAÇOS AZUL,55,VERÃO 2026,Não,V26
S5864N015,SANDÁLIA FIVELA VERMELHO,55,VERÃO 2026,Não,V26
S5866J002,SCARPIN SLINGBACK PRETO,54,VERÃO 2026,Não,V26
S5866A881,SAPATILHA TACHAS OFF WHITE,53,VERÃO 2026,Não,V26
S5863L170,SANDÁLIA RECORTES E ENFEITES MARROM,53,VERÃO 2026,Não,V26
S5867M045,TÊNIS TELA VERDE,53,VERÃO 2026,Não,V26
C5864B616,TAMANCO COURO ENTRELAÇADO NUDE,53,VERÃO 2026,Não,V26
S5868D616,SCARPIN SLINGBACK FIVELA NUDE,52,VERÃO 2026,Não,V26
S5868N881,MOCASSIM BRIDÃO BAMBU OFF WHITE,52,VERÃO 2026,Não,V26
S586A9724,TÊNIS TEXTURA DOURADO,52,VERÃO 2026,Não,V26
S5863J018,RASTEIRA ENFEITES FLOR AMARELO,52,VERÃO 2026,Não,V26
S5866M018,SANDÁLIA MACRAMÊ AMARELO,51,VERÃO 2026,Não,V26
S58673002,TAMANCO MACRAMÊ PRETO,49,VERÃO 2026,Não,V26
S586A9006,TÊNIS TEXTURA PRATA,49,VERÃO 2026,Não,V26
S5868K002,SCARPIN SLINGBACK PRETO,49,VERÃO 2026,Não,V26
S586AH012,TAMANCO ENFEITE CARAMELO,49,VERÃO 2026,Não,V26
S5869H616,TÊNIS LASER NUDE,48,VERÃO 2026,Não,V26
S5866A039,SAPATILHA TACHAS BORDO,48,VERÃO 2026,Não,V26
S58649045,SCARPIN TACHAS VERDE,48,VERÃO 2026,Não,V26
T58674881,MOCASSIM TRAMADO LAÇO OFF WHITE,47,VERÃO 2026,Não,V26
S5868Z881,TÊNIS PESPONTOS OFF WHITE,46,VERÃO 2026,Não,V26
S5865B881,SANDÁLIA TIRAS OFF WHITE,46,VERÃO 2026,Não,V26
S5863V012,TAMANCO FIVELA CARAMELO,45,VERÃO 2026,Não,V26
S586AB170,ANABELA PESPONTO MARROM,45,VERÃO 2026,Não,V26
S5864Q005,SCARPIN TRESSÊ AZUL,44,VERÃO 2026,Não,V26
S5863J881,RASTEIRA ENFEITES FLOR OFF WHITE,44,VERÃO 2026,Não,V26
S5869S616,SCARPIN ENFEITE NUDE,43,VERÃO 2026,Não,V26
S586AD012,ANABELA TRANÇA CARAMELO,42,VERÃO 2026,Não,V26
S585UW881,MOCASSIM NÓ MONOCROMÁTICO OFF WHITE,41,VERÃO 2026,Não,V26
S5868N009,MOCASSIM BRIDÃO BAMBU CAFE,40,VERÃO 2026,Não,V26
S58668012,SAPATILHA MACRAMÊ CARAMELO,40,VERÃO 2026,Não,V26
S5866R005,RASTEIRA CRAVOS AZUL,39,VERÃO 2026,Não,V26
S5868E002,SLINGBACK LAÇO PRETO,39,VERÃO 2026,Não,V26
S5863S002,SANDÁLIA PEEP TOE PRETO,38,VERÃO 2026,Não,V26
T5867O002,SCARPIN SLINGBACK TRAMA PRETO,38,VERÃO 2026,Não,V26
S5868U724,RASTEIRA PEDRAS DOURADO,37,VERÃO 2026,Não,V26
S5868O010,SANDÁLIA TRAMADO CALCE FÁCIL BEGE,37,VERÃO 2026,Não,V26
S5869N881,SANDÁLIA TIRAS STRASS OFF WHITE,37,VERÃO 2026,Não,V26
S58668724,SAPATILHA MACRAMÊ DOURADO,36,VERÃO 2026,Não,V26
S5866S881,SANDÁLIA NÓ OFF WHITE,36,VERÃO 2026,Não,V26
S585TB881,RASTEIRA STRASS OFF WHITE,36,VERÃO 2026,Não,V26
S58644012,SAPATILHA TIRAS STRASS CARAMELO,36,VERÃO 2026,Não,V26
C5868S881,TAMANCO RECORTES OFF WHITE,34,VERÃO 2026,Não,V26
S5868M045,SAPATILHA LASER ENFEITE VERDE,34,VERÃO 2026,Não,V26
S58665009,PAPETE FIVELA CAFE,33,VERÃO 2026,Não,V26
S5867S010,ALPARGATA BORDADA BEGE,33,VERÃO 2026,Não,V26
S5863R045,SCARPIN RECORTES VERDE,33,VERÃO 2026,Não,V26
S5866J010,SACARPIN SLINGBACK BEGE,32,VERÃO 2026,Não,V26
S5866P039,ANABELA ARGOLA BORDO,32,VERÃO 2026,Não,V26
S5868W045,RASTEIRA ESFERA VERDE,32,VERÃO 2026,Não,V26
S5866E018,RASTEIRA LAÇOS AMARELO,32,VERÃO 2026,Não,V26
S5866T689,SAPATILHA PAETÊ ONCA,32,VERÃO 2026,Não,V26
T5867O010,SCARPIN SLINGBACK TRAMA BEGE,32,VERÃO 2026,Não,V26
S5863L881,SANDÁLIA RECORTES E ENFEITES OFF WHITE,32,VERÃO 2026,Não,V26
S58644881,SAPATILHA TIRAS STRASS OFF WHITE,32,VERÃO 2026,Não,V26
S5863V002,TAMANCO FIVELA PRETO,31,VERÃO 2026,Não,V26
T585JY002,SAPATILHA SLINGBACK TRAMA PRETO,31,VERÃO 2026,Não,V26
S5866U616,ALPARGATA PAETÊ NUDE,30,VERÃO 2026,Não,V26
S5869P012,SANDÁLIA MEIA PATA TIRA CARAMELO,30,VERÃO 2026,Não,V26
